"Immune.response","Defense.response","Response.to.external.biotic.stimulus"
"6030468B19RIK","2610528A11RIK","1500002F19RIK"
"9830107B12RIK","9530003J23RIK","1810065E05RIK"
"A2M","9830107B12RIK","2210407C18RIK"
"A530064D06RIK","9930111J21RIK1","2610528A11RIK"
"ABL1","A2M","9530003J23RIK"
"ABR","A530064D06RIK","9830107B12RIK"
"ACKR2","AAP","A2M"
"ACKR3","ABCC1","A530064D06RIK"
"ACKR4","ABCC9","AA467197"
"ACOD1","ABCD1","ABCA1"
"ACTG1","ABCD2","ABCC9"
"ACTR2","ABCF3","ABCD2"
"ACTR3","ABHD12","ABCF3"
"ADA","ABR","ABL1"
"ADAM8","ACE","ABR"
"ADAM15","ACER3","ACE"
"ADAM17","ACKR1","ACOD1"
"ADAR","ACKR2","ACP5"
"ADCY7","ACOD1","ACTG1"
"ADCYAP1","ACP5","ACTR2"
"ADGRB1","ACTG1","ACTR3"
"ADGRE1","ACTR2","ADAM8"
"ADM","ACTR3","ADAM9"
"ADORA2B","ADA","ADAM15"
"ADORA3","ADAM8","ADAM17"
"AGER","ADAM15","ADAMTS4"
"AHCY","ADAM17","ADAMTS5"
"AICDA","ADAMTS4","ADAMTS9"
"AIM2","ADAMTS5","ADAR"
"AIRE","ADAMTS12","ADGRB1"
"AK7","ADAR","ADGRL2"
"AKAP8","ADCY1","ADH5"
"AKIRIN2","ADCY7","ADH7"
"ALCAM","ADCY8","ADIPOQ"
"ALOX15","ADCYAP1","ADM"
"ALPK1","ADGRB1","AEN"
"ANG","ADIPOQ","AGBL4"
"ANG4","ADM","AGBL5"
"ANGPT1","ADORA1","AGO3"
"ANKHD1","ADORA2A","AICDA"
"ANKRD17","ADORA2B","AIM2"
"ANXA1","ADORA3","AKAP8"
"ANXA3","ADRA2A","AKIRIN2"
"AP1G1","ADRB2","AKT1"
"APBB1IP","AEN","ALPK1"
"APCS","AFAP1L2","AMY1"
"APLF","AGBL4","ANG"
"APOA1","AGBL5","ANG4"
"APOA2","AGER","ANKHD1"
"APOA4","AGT","ANKRD1"
"APOBEC3","AGTR1A","ANKRD17"
"APOE","AGTR1B","ANXA1"
"APP","AGTR2","ANXA3"
"APPL1","AHCY","AP1G1"
"APPL2","AHSG","APCS"
"AQP4","AICDA","APOA4"
"ARF6","AIF1","APOBEC1"
"ARG1","AIM2","APOBEC3"
"ARG2","AIMP1","APOE"
"ARHGEF2","AIR1","APP"
"ARID5A","AK7","APPL1"
"ARRB2","AKAP8","APPL2"
"ATAD5","AKIRIN2","AQP4"
"ATG5","AKNA","ARF1"
"ATG9A","AKT1","ARF6"
"ATP7A","ALOX5","ARG1"
"AXL","ALOX5AP","ARG2"
"AY761185","ALPK1","ARHGEF2"
"AZGP1","ALS2","ARID5A"
"B2M","ANG","ARRB2"
"B430306N03RIK","ANG4","ATG5"
"BAG6","ANKFN1","ATG7"
"BATF","ANKHD1","ATG9A"
"BAX","ANKRD17","ATG16L1"
"BCAP31","ANKRD42","AXL"
"BCAR1","ANO6","AY761185"
"BCL2","ANXA1","B2M"
"BCL2A1D","ANXA3","B3GALT5"
"BCL3","AOAH","B430306N03RIK"
"BCL6","AOC3","BAD"
"BCL6B","AP1G1","BAIAP2"
"BCL10","APCS","BAIAP2L1"
"BCR","APOA1","BAK1"
"BDKRB2","APOA4","BANK1"
"BLK","APOBEC1","BATF"
"BMI1","APOBEC3","BATF2"
"BMP6","APOD","BATF3"
"BMPR1A","APOE","BC018473"
"BPI","APP","BCL2"
"BPIFA1","APPL1","BCL2L1"
"BPIFB1","APPL2","BCL2L11"
"BPIFB3","AQP4","BCL3"
"BRAF","ARF6","BCL10"
"BST2","ARG1","BCR"
"BTK","ARG2","BDKRB1"
"BTLA","ARHGEF2","BECN1"
"BTN1A1","ARID5A","BMP2"
"BTN2A2","ARRB2","BMP6"
"BTNL1","ASH1L","BNIP3"
"BTNL2","ASIC1","BNIP3L"
"BTNL4","ASIC4","BPI"
"BTNL6","ATG7","BPIFA1"
"BTNL9","ATG9A","BPIFA2"
"BTNL10","ATG16L1","BPIFB1"
"C1QA","ATM","BPIFB3"
"C1QB","ATRN","BST2"
"C1QBP","AXL","BTK"
"C1QC","AY761185","C1QA"
"C1RA","B2M","C1QB"
"C1RB","B4GALT1","C1QBP"
"C1RL","B430306N03RIK","C1QC"
"C1S1","BAP1","C1RA"
"C1S2","BATF","C1RB"
"C2","BATF2","C1RL"
"C3","BCL2","C1S1"
"C3AR1","BCL3","C1S2"
"C4A","BCL6","C2"
"C4B","BCL6B","C3"
"C4BP","BCL10","C4BP"
"C5AR1","BCR","C5AR1"
"C5AR2","BDKRB1","C8A"
"C6","BDKRB2","C8B"
"C8A","BDNF","C8G"
"C8B","BECN1","C9"
"C8G","BNIP3","C530030P08RIK"
"C9","BNIP3L","CACTIN"
"CACNA1F","BPI","CADM1"
"CACNB3","BPIFA1","CAMP"
"CACNB4","BPIFA2","CAPG"
"CACTIN","BPIFB1","CAR3"
"CADM1","BPIFB3","CAR5B"
"CAMK4","BRINP1","CARD9"
"CAMP","BST1","CASP1"
"CAPG","BST2","CASP4"
"CARD9","BTK","CAV1"
"CARD11","C1QA","CCDC80"
"CARMIL2","C1QB","CCDC88B"
"CASP1","C1QBP","CCDC186"
"CASP4","C1QC","CCL1"
"CAV1","C1QTNF3","CCL2"
"CBLB","C1QTNF12","CCL3"
"CCL1","C1RA","CCL4"
"CCL2","C1RB","CCL5"
"CCL3","C1RL","CCL6"
"CCL4","C1S1","CCL7"
"CCL5","C1S2","CCL8"
"CCL6","C2","CCL9"
"CCL7","C2CD4A","CCL11"
"CCL8","C2CD4B","CCL12"
"CCL9","C3","CCL17"
"CCL11","C3AR1","CCL19"
"CCL12","C4BP","CCL20"
"CCL17","C5AR1","CCL21A"
"CCL19","C5AR2","CCL21B"
"CCL20","C8A","CCL21C"
"CCL21A","C8B","CCL22"
"CCL21B","C8G","CCL24"
"CCL21C","C9","CCL25"
"CCL22","CACNA1E","CCL26"
"CCL24","CACTIN","CCL27B"
"CCL25","CADM1","CCL28"
"CCL26","CALCA","CCR1"
"CCL27B","CALCRL","CCR7"
"CCL28","CAMK1D","CD1D1"
"CCR1","CAMK4","CD4"
"CCR1L1","CAMP","CD6"
"CCR2","CAPG","CD8A"
"CCR3","CARD9","CD14"
"CCR4","CASP1","CD24A"
"CCR5","CASP4","CD36"
"CCR6","CASP6","CD37"
"CCR7","CASP12","CD40"
"CCR8","CAV1","CD47"
"CCR9","CCDC88B","CD52"
"CCR10","CCK","CD55"
"CCRL2","CCKBR","CD55B"
"CD1D1","CCL1","CD68"
"CD1D2","CCL2","CD74"
"CD3D","CCL3","CD79B"
"CD3E","CCL4","CD80"
"CD3G","CCL5","CD84"
"CD4","CCL6","CD86"
"CD5L","CCL7","CD96"
"CD6","CCL8","CD160"
"CD7","CCL9","CD177"
"CD8A","CCL11","CD180"
"CD8B1","CCL12","CD207"
"CD14","CCL17","CD209B"
"CD19","CCL19","CD209D"
"CD22","CCL20","CD226"
"CD24A","CCL21A","CD244A"
"CD28","CCL21B","CD274"
"CD36","CCL21C","CD300A"
"CD37","CCL22","CD300LB"
"CD38","CCL24","CD300LD3"
"CD40","CCL25","CD300LF"
"CD40LG","CCL26","CDC37"
"CD44","CCN3","CDC42"
"CD46","CCN4","CDC42EP2"
"CD47","CCR1","CDC42EP4"
"CD48","CCR1L1","CDC73"
"CD55","CCR2","CDK4"
"CD55B","CCR3","CEACAM1"
"CD59A","CCR4","CEBPB"
"CD59B","CCR5","CEBPE"
"CD68","CCR6","CEBPG"
"CD70","CCR7","CEP192"
"CD74","CCRL2","CES1C"
"CD79A","CD1D1","CES1G"
"CD79B","CD4","CFB"
"CD80","CD5L","CFD"
"CD81","CD6","CFH"
"CD84","CD8A","CFI"
"CD86","CD14","CFLAR"
"CD96","CD24A","CFP"
"CD160","CD28","CGAS"
"CD177","CD36","CHD7"
"CD180","CD37","CHGA"
"CD200","CD40","CHIA1"
"CD226","CD40LG","CHID1"
"CD244A","CD44","CHMP5"
"CD247","CD47","CHUK"
"CD274","CD55","CIITA"
"CD276","CD55B","CITED1"
"CD300A","CD68","CLEC2D"
"CD300LD3","CD74","CLEC4A2"
"CD300LF","CD81","CLEC4D"
"CDC37","CD84","CLEC4E"
"CDC42","CD86","CLEC4N"
"CDC42EP2","CD96","CLEC5A"
"CDC42EP4","CD160","CLEC7A"
"CDH17","CD163","CLEC12B"
"CEACAM1","CD177","CLNK"
"CEBPG","CD180","CLPS"
"CFB","CD200","CMPK2"
"CFD","CD200R1","CNOT7"
"CFH","CD200R2","CNPY3"
"CFI","CD200R3","CNR1"
"CFP","CD200R4","CNR2"
"CGAS","CD207","COCH"
"CHGA","CD209D","COLEC11"
"CHIA1","CD226","COLEC12"
"CHID1","CD244A","CORO1A"
"CIITA","CD276","COTL1"
"CITED1","CD300A","CPS1"
"CLCF1","CD300LD3","CR1L"
"CLEC2D","CD300LF","CR2"
"CLEC2I","CDC37","CRCP"
"CLEC4A2","CDC42","CREB3"
"CLEC4D","CDC42EP2","CREBBP"
"CLEC4E","CDC42EP4","CREBZF"
"CLEC4G","CDH5","CRK"
"CLEC4N","CDK19","CRP"
"CLEC5A","CEACAM1","CRTAM"
"CLEC7A","CEBPA","CSF1"
"CLEC12A","CEBPB","CSF1R"
"CLEC12B","CEBPE","CST9"
"CLNK","CEBPG","CST11"
"CMKLR1","CELA1","CTR9"
"CMTM3","CERS6","CTSG"
"CNOT7","CFB","CUBN"
"CNPY3","CFD","CX3CL1"
"CNR1","CFH","CX3CR1"
"COCH","CFI","CXADR"
"COL3A1","CFP","CXCL1"
"COLEC11","CGAS","CXCL2"
"COLEC12","CHGA","CXCL3"
"CORO1A","CHIA1","CXCL5"
"CPLX2","CHID1","CXCL9"
"CR1L","CHIL1","CXCL10"
"CR2","CHIL3","CXCL12"
"CRACR2A","CHIL4","CXCL13"
"CRCP","CHRNA7","CXCL14"
"CRHR1","CHST1","CXCL15"
"CRK","CHST2","CXCL16"
"CRKL","CHST4","CYBA"
"CRLF2","CHUK","CYBB"
"CRP","CIITA","CYBC1"
"CRTAM","CITED1","CYLD"
"CSF1","CLCF1","CYP2B10"
"CSF1R","CLEC2D","CYP2E1"
"CSF2","CLEC2H","CYP3A11"
"CSF3","CLEC4A2","CYP3A25"
"CSK","CLEC4D","CYP3A41A"
"CST9","CLEC4E","CYP3A41B"
"CTLA4","CLEC4N","CYP27B1"
"CTSC","CLEC5A","DAB2IP"
"CTSG","CLEC7A","DAPK1"
"CTSH","CLEC10A","DAPK3"
"CUEDC2","CLEC12B","DCST1"
"CX3CL1","CLNK","DDIT4"
"CX3CR1","CLOCK","DDX1"
"CXCL1","CLU","DDX3X"
"CXCL2","CMKLR1","DDX17"
"CXCL3","CNOT7","DDX21"
"CXCL5","CNPY3","DDX41"
"CXCL9","CNR1","DDX58"
"CXCL10","CNR2","DDX60"
"CXCL12","CNTF","DEFA1"
"CXCL13","COCH","DEFA2"
"CXCL14","COLEC10","DEFA3"
"CXCL15","COLEC11","DEFA4"
"CXCL16","COLEC12","DEFA5"
"CXCR1","CORO1A","DEFA6"
"CXCR2","COTL1","DEFA7"
"CXCR3","CR1L","DEFA8"
"CXCR4","CR2","DEFA9"
"CXCR5","CRCP","DEFA10"
"CXCR6","CREB3","DEFA11"
"CYBA","CRH","DEFA12"
"CYBB","CRHBP","DEFA13"
"CYBC1","CRK","DEFA14"
"CYLD","CRLF2","DEFA15"
"CYP27B1","CRP","DEFA16"
"CYSLTR1","CRTAM","DEFA17"
"D6WSU163E","CSF1","DEFA20"
"DAB2IP","CSF1R","DEFA21"
"DAPK1","CSPG4","DEFA22"
"DAPK3","CSRP3","DEFA23"
"DBNL","CST3","DEFA24"
"DCLRE1C","CST7","DEFA25"
"DCST1","CST11","DEFA26"
"DDX1","CTLA2A","DEFA27"
"DDX3X","CTNNBIP1","DEFA28"
"DDX21","CTSC","DEFA29"
"DDX58","CTSG","DEFA30"
"DDX60","CTSS","DEFA31"
"DEFA1","CUEDC2","DEFA34"
"DEFA2","CX3CL1","DEFA35"
"DEFA3","CX3CR1","DEFA37"
"DEFA4","CXADR","DEFA38"
"DEFA5","CXCL1","DEFA39"
"DEFA6","CXCL2","DEFA40"
"DEFA7","CXCL3","DEFA41"
"DEFA8","CXCL5","DEFA42"
"DEFA9","CXCL9","DEFA-RS2"
"DEFA10","CXCL10","DEFA-RS4"
"DEFA11","CXCL12","DEFA-RS10"
"DEFA13","CXCL13","DEFA-RS12"
"DEFA14","CXCL15","DEFB1"
"DEFA15","CXCL16","DEFB2"
"DEFA16","CXCL17","DEFB3"
"DEFA17","CXCR2","DEFB4"
"DEFA20","CXCR3","DEFB5"
"DEFA21","CXCR6","DEFB6"
"DEFA22","CYBA","DEFB7"
"DEFA23","CYBB","DEFB8"
"DEFA24","CYBC1","DEFB9"
"DEFA25","CYLD","DEFB10"
"DEFA26","CYP19A1","DEFB11"
"DEFA27","CYP26B1","DEFB12"
"DEFA28","CYP27B1","DEFB13"
"DEFA29","CYSLTR1","DEFB14"
"DEFA30","D1ERTD622E","DEFB15"
"DEFA31","DAB2IP","DEFB18"
"DEFA34","DAPK1","DEFB19"
"DEFA35","DAPK3","DEFB20"
"DEFA37","DBI","DEFB22"
"DEFA38","DCST1","DEFB25"
"DEFA39","DDIT4","DEFB29"
"DEFA40","DDT","DEFB30"
"DEFA41","DDX1","DEFB33"
"DEFA42","DDX3X","DEFB34"
"DEFA-RS2","DDX17","DEFB35"
"DEFA-RS10","DDX21","DEFB36"
"DEFA-RS12","DDX41","DEFB37"
"DEFB1","DDX58","DEFB38"
"DEFB12","DDX60","DEFB39"
"DEFB15","DEAF1","DEFB40"
"DEFB18","DEFA1","DEFB41"
"DEFB19","DEFA2","DEFB42"
"DEFB20","DEFA3","DEFB43"
"DEFB22","DEFA4","DEFB46"
"DEFB25","DEFA5","DEFB47"
"DEFB29","DEFA6","DEFB48"
"DEFB30","DEFA7","DEFB50"
"DEFB34","DEFA8","DGKB"
"DEFB35","DEFA9","DHX9"
"DEFB36","DEFA10","DHX36"
"DEFB41","DEFA11","DHX58"
"DEFB43","DEFA12","DICER1"
"DENND1B","DEFA13","DMBT1"
"DHX9","DEFA14","DNAJA3"
"DHX36","DEFA15","DRD2"
"DHX58","DEFA16","DROSHA"
"DLG1","DEFA17","DTX3L"
"DLL1","DEFA20","DUOX2"
"DMBT1","DEFA21","DUSP10"
"DNAJA3","DEFA22","E430024C06RIK"
"DNASE1","DEFA23","ECSIT"
"DNASE1L3","DEFA24","EDNRA"
"DNASE2A","DEFA25","EDNRB"
"DOCK2","DEFA26","EIF2AK2"
"DOCK10","DEFA27","EIF2AK4"
"DOCK11","DEFA28","ELANE"
"DPP4","DEFA29","ELF4"
"DRD2","DEFA30","ELMOD2"
"DTX3L","DEFA31","EPG5"
"DUSP3","DEFA34","EPHA2"
"DUSP10","DEFA35","EPRS"
"DUSP22","DEFA37","EPX"
"DYSF","DEFA38","ERBIN"
"ECM1","DEFA39","ERCC6"
"ECSIT","DEFA40","EREG"
"EDA","DEFA41","ESR1"
"EIF2AK2","DEFA42","EVL"
"EIF2AK4","DEFA-RS2","EXOSC4"
"EIF2B1","DEFA-RS4","EXOSC5"
"EIF2B2","DEFA-RS10","F2"
"EIF2B3","DEFA-RS12","F2R"
"EIF2B4","DEFB1","F2RL1"
"EIF2B5","DEFB2","FABP4"
"ELANE","DEFB3","FADD"
"ELF1","DEFB4","FAM3A"
"ELF4","DEFB5","FAM20A"
"EMP2","DEFB6","FAU"
"ENDOU","DEFB7","FBXO9"
"ENPP1","DEFB8","FCER1G"
"ENPP2","DEFB9","FCGR1"
"ENPP3","DEFB10","FCGR2B"
"EOMES","DEFB11","FCGR4"
"EPG5","DEFB12","FCNA"
"EPHB6","DEFB13","FCNB"
"EPRS","DEFB14","FER"
"ERAP1","DEFB15","FER1L6"
"ERBIN","DEFB18","FFAR2"
"ERCC1","DEFB19","FGA"
"EREG","DEFB20","FGB"
"ERMAP","DEFB22","FGF15"
"ESR1","DEFB25","FGG"
"EVL","DEFB29","FGL2"
"EXO1","DEFB30","FGR"
"EXOSC3","DEFB33","FHE"
"EXOSC6","DEFB34","FKBP5"
"EZR","DEFB35","FLNB"
"F2","DEFB36","FLOT1"
"F2RL1","DEFB37","FLT3"
"FADD","DEFB38","FMR1"
"FAM3A","DEFB39","FPR2"
"FAM49B","DEFB40","FUCA2"
"FAS","DEFB41","FV1"
"FASL","DEFB42","FZD5"
"FAU","DEFB43","G3BP1"
"FBXO9","DEFB46","G3BP2"
"FBXO38","DEFB47","GALP"
"FCAMR","DEFB48","GAPDH"
"FCER1A","DEFB50","GAS2L3"
"FCER1G","DHX9","GAS5"
"FCER2A","DHX36","GATA3"
"FCGR1","DHX58","GBF1"
"FCGR2B","DICER1","GBP2"
"FCGR3","DMBT1","GBP2B"
"FCGRT","DNAJA3","GBP3"
"FCNA","DNASE1","GBP4"
"FCNB","DNASE1L3","GBP5"
"FCRL5","DPP4","GBP6"
"FCRLB","DRD1","GBP7"
"FER","DRD2","GBP8"
"FES","DRD4","GBP9"
"FFAR2","DROSHA","GBP10"
"FFAR3","DTX3L","GCH1"
"FGA","DUOX1","GDAP10"
"FGB","DUOX2","GFER"
"FGG","DUOXA1","GFI1"
"FGL1","DUOXA2","GGT1"
"FGL2","DUSP10","GGT5"
"FGR","ECM1","GKN2"
"FKBP1A","ECSIT","GLI2"
"FLNB","EDNRA","GLYCAM1"
"FLOT1","EDNRB","GM2564"
"FOXF1","EGFR","GM10002"
"FOXJ1","EIF2AK1","GM10708"
"FOXP1","EIF2AK2","GM10796"
"FOXP3","EIF2AK4","GM12250"
"FPR1","EIF4E","GM14335"
"FPR2","EIF4G1","GM22053"
"FPR3","ELANE","GM22435"
"FPR-RS3","ELF3","GM23054"
"FPR-RS4","ELF4","GM24769"
"FPR-RS6","ELMOD2","GM24787"
"FPR-RS7","ENPP3","GM25038"
"FUT7","EP300","GM26315"
"FYB","EPG5","GM43302"
"FYB2","EPHA2","GM45717"
"FYN","EPHB6","GPAM"
"FZD5","EPHX2","GPATCH3"
"G3BP1","EPRS","GPC3"
"G3BP2","EPX","GPER1"
"GAB2","ERBIN","GPM6A"
"GADD45G","ERCC6","GPR31B"
"GALP","EREG","GPS2"
"GAPDH","ESR1","GPX1"
"GAPT","ESR2","GPX2"
"GAS6","ETS1","GRAMD4"
"GATA2","EVL","GRN"
"GATA3","EXOSC4","GRP"
"GBF1","EXOSC5","GRPR"
"GBP2","F2","GSDMD"
"GBP2B","F2R","GSDME"
"GBP3","F2RL1","GSN"
"GBP4","F3","GSTA1"
"GBP5","F8","GSTA2"
"GBP6","F12","GSTM3"
"GBP7","F630003A18RIK","GSTP1"
"GBP8","F830016B08RIK","GUCY1A1"
"GBP9","FABP4","GZMA"
"GBP10","FADD","H2-AA"
"GCH1","FAM3A","H2-AB1"
"GCNT3","FANCA","H2-BL"
"GCSAM","FANCD2","H2-EB1"
"GFER","FAU","H2-K1"
"GFI1","FBXL20","H2-M3"
"GM1987","FBXO9","H2-Q7"
"GM2564","FCER1A","H2-Q9"
"GM7030","FCER1G","H2-T23"
"GM8909","FCGR1","H2BC4"
"GM11127","FCGR2B","H2BC6"
"GM13271","FCGR3","H2BC7"
"GM13272","FCNA","H2BC8"
"GM13275","FCNB","H2BC12"
"GM13276","FEM1A","H2BC13"
"GM13277","FFAR2","H2BC21"
"GM13283","FFAR3","H60A"
"GM17472","FFAR4","H60B"
"GM20730","FGA","H60C"
"GM36028","FGB","HAMP"
"GM43218","FGG","HAMP2"
"GM43302","FGL2","HAVCR2"
"GM45717","FGR","HBA-A1"
"GP2","FLNB","HBA-A2"
"GPATCH3","FLOT1","HC"
"GPER1","FN1","HCK"
"GPLD1","FNDC4","HERC6"
"GPR17","FOXF1","HEXIM1"
"GPR31B","FOXP3","HK1"
"GPR33","FPR1","HMCN1"
"GPR183","FPR2","HMGB1"
"GPRC5B","FPR3","HMGB2"
"GPS2","FPR-RS3","HMGB3"
"GPX1","FPR-RS4","HMGB4"
"GPX2","FPR-RS6","HNRNPA0"
"GRAMD4","FPR-RS7","HNRNPUL1"
"GRN","FV1","HP"
"GSDMD","G3BP1","HPX"
"GSN","G3BP2","HRAS"
"GZMB","GABRA5","HRG"
"GZMM","GAL","HSF1"
"H2-AA","GALP","HSP84-2"
"H2-AB1","GAPDH","HSPD1"
"H2-BL","GATA3","HTRA1"
"H2-D1","GBP2","HYAL1"
"H2-DMA","GBP2B","HYAL2"
"H2-DMB1","GBP3","HYAL3"
"H2-EA-PS","GBP4","IDO1"
"H2-EB1","GBP5","IER3"
"H2-K1","GBP6","IFI27L2A"
"H2-L","GBP7","IFI27L2B"
"H2-M1","GBP8","IFI44"
"H2-M2","GBP9","IFI44L"
"H2-M3","GBP10","IFI202A"
"H2-M5","GCH1","IFI203"
"H2-M9","GFER","IFI204"
"H2-M10.1","GFI1","IFI205"
